# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	3327
#@/user_id	d2fd4d0f-a2d6-48c2-a75c-fbbe5f221165
a 	啊	c=2 d=0.0946542 t=3327
zai xian 	在線	c=3 d=1.10072e-06 t=3327
zai ye 	再也	c=1 d=9.56486e-07 t=3327
zao qi 	早期	c=1 d=0.00082099 t=3327
zen me 	怎麼	c=1 d=1.22498e-05 t=3327
zen yang 	怎樣	c=1 d=0.000997937 t=3327
zhai wu 	債務	c=1 d=2.11297e-07 t=3327
zhan 	棧	c=2 d=0.227263 t=3327
zhan lve 	戰略	c=1 d=0.71177 t=3327
zhan you 	佔有	c=1 d=0.240508 t=3327
zhang 	張	c=1 d=0.377192 t=3327
zhang 	長	c=1 d=0.2334 t=3327
zhang hao 	帳號	c=3 d=1.97547e-06 t=3327
zhao 	找	c=1 d=6.16012e-07 t=3327
zhe 	着	c=1 d=0.439085 t=3327
zhe 	者	c=1 d=0.588605 t=3327
zhe 	這	c=10 d=0.0257967 t=3327
zhe bu shi 	這不是	c=1 d=0.00504176 t=3327
zhe dui 	這堆	c=0 d=1.04927e-08 t=3327
zhe dui dian 	這堆點	c=1 d=1.05453e-07 t=3327
zhe ge 	這個	c=13 d=0.0813664 t=3327
zhe ge zhong wen zi ti 	這個中文字體	c=1 d=7.05048e-07 t=3327
zhe jian shi qing 	這件事情	c=1 d=1.42347e-07 t=3327
zhe li 	這裏	c=1 d=8.5907e-08 t=3327
zhe me 	這麼	c=2 d=0.509156 t=3327
zhe shi 	這是	c=5 d=0.929317 t=3327
zhe shi wo 	這是我	c=1 d=0.496585 t=3327
zhe shi yi duan 	這是一段	c=1 d=1.38832e-07 t=3327
zhe shi yi ge 	這是一個	c=1 d=8.21129e-06 t=3327
zhe xie 	這些	c=3 d=0.0010704 t=3327
zhe yang 	這樣	c=5 d=0.0193062 t=3327
zhe yi ge 	這一個	c=1 d=0.00125578 t=3327
zhe yi zu 	這一組	c=1 d=0.0129068 t=3327
zhe zhong 	這種	c=2 d=0.0226844 t=3327
zhen 	鎮	c=1 d=2.24363e-07 t=3327
zheng 	症	c=1 d=0.000323925 t=3327
zheng ge 	整個	c=3 d=0.00111173 t=3327
zheng ti 	整體	c=1 d=0.00690852 t=3327
zhi 	之	c=1 d=0.0575558 t=3327
zhi 	值	c=4 d=0.525618 t=3327
zhi 	只	c=2 d=6.67687e-06 t=3327
zhi ding 	指定	c=2 d=0.14617 t=3327
zhi hou 	之後	c=4 d=0.134055 t=3327
zhi hu 	知乎	c=2 d=3.41355e-07 t=3327
zhi jian 	之間	c=3 d=0.456646 t=3327
zhi jie 	直接	c=4 d=0.301559 t=3327
zhi liang 	質量	c=1 d=4.86918e-05 t=3327
zhi ling 	指令	c=8 d=1.08983 t=3327
zhi mi bu wu 	執迷不悟	c=1 d=1.01318e-07 t=3327
zhi shao 	至少	c=1 d=0.00127476 t=3327
zhi xian 	直線	c=36 d=1.10847 t=3327
zhi xing 	執行	c=1 d=0.0178634 t=3327
zhi zao ye 	製造業	c=1 d=0.737123 t=3327
zhi zhen 	指針	c=2 d=0.0152275 t=3327
zhong 	中	c=58 d=2.48874 t=3327
zhong 	種	c=1 d=0.0342181 t=3327
zhong guo 	中國	c=9 d=1.36839 t=3327
zhong guo gong chan dang 	中國共產黨	c=1 d=7.375e-07 t=3327
zhong jian 	中間	c=1 d=0.308819 t=3327
zhong wen 	中文	c=1 d=6.15321e-06 t=3327
zhou 	軸	c=10 d=0.759251 t=3327
zhu 	蛛	c=1 d=0.412714 t=3327
zhu ba jie 	豬八戒	c=1 d=0.408608 t=3327
zhu ce 	註冊	c=4 d=0.0266518 t=3327
zhu ce ji 	註冊機	c=1 d=0.371577 t=3327
zhu ce ma 	註冊碼	c=1 d=1.30747e-07 t=3327
zhu jie 	註解	c=1 d=2.0403e-07 t=3327
zhu ru 	注入	c=2 d=0.0541044 t=3327
zhu shi 	註釋	c=1 d=6.11357e-06 t=3327
zhu yao 	主要	c=3 d=0.000916364 t=3327
zhu yi 	注意	c=1 d=0.000800719 t=3327
zhu yuan 	祝願	c=1 d=0.410656 t=3327
zhuan huan 	轉換	c=1 d=0.394554 t=3327
zhuan huan wen ti 	轉換問題	c=1 d=9.09837e-07 t=3327
zi 	子	c=20 d=0.500202 t=3327
zi 	字	c=2 d=0.308634 t=3327
zi 	自	c=2 d=0.00020068 t=3327
zi 	資	c=1 d=2.22131e-07 t=3327
zi dian 	字典	c=1 d=9.63768e-08 t=3327
zi dong 	自動	c=3 d=0.0968115 t=3327
zi duan 	字段	c=3 d=0.11141 t=3327
zi fu chuan 	字符串	c=2 d=0.0090634 t=3327
zi ji 	自己	c=4 d=0.00888211 t=3327
zi jie 	字節	c=7 d=0.75785 t=3327
zi ti 	字體	c=7 d=1.8325 t=3327
zi yuan 	資源	c=2 d=0.453845 t=3327
zong jie 	總結	c=1 d=1.06238e-06 t=3327
zu 	組	c=15 d=0.267997 t=3327
zui 	最	c=2 d=2.18236e-05 t=3327
zui di 	最低	c=1 d=0.00148849 t=3327
zui hou 	最後	c=6 d=0.36335 t=3327
zui mei 	最美	c=1 d=1.02197e-06 t=3327
zui mei de 	最美的	c=1 d=9.42245e-07 t=3327
zui xiao 	最小	c=5 d=0.25844 t=3327
zui yuan 	最遠	c=2 d=0.167502 t=3327
zui zhong 	最終	c=6 d=0.0694806 t=3327
zuo 	作	c=1 d=7.58127e-08 t=3327
zuo 	做	c=9 d=0.0318105 t=3327
zuo le 	做了	c=5 d=0.0179559 t=3327
zuo wei 	作爲	c=2 d=0.219848 t=3327
zuo yong 	作用	c=3 d=0.0223721 t=3327
zuo you 	左右	c=1 d=0.767206 t=3327
